Name	Company	TICKER	Total Compensation ($ Million)	Total Revenue ($ Billion)	Log Total Compensation	Log Total Revenue
B. D. Jellison	ROPER INDUSTRIES INC/DE	ROP	$3.67 	$2.39 	6.565	0.378
Michael Balmuth	ROSS STORES INC	ROST	$11.67 	$7.87 	7.067	0.896
Alfred J. Amoroso	ROVI CORP	ROVI	$6.98 	$0.54 	6.844	-0.266
W. Matt Ralls	ROWAN COS INC	RDC	$5.25 	$1.82 	6.72	0.26
Frank C. Sullivan	RPM INTERNATIONAL INC	RPM	$6.90 		6.839	
Dawne S. Hickton, Esq.	RTI INTL METALS INC	RTI	$2.74 	$0.43 	6.437	-0.365
Raja M. Parvez	RUBICON TECHNOLOGY INC	RBCN	$1.02 	$0.08 	6.01	-1.111
Samuel E. Beall, III	RUBY TUESDAY INC	RT	$4.63 		6.666	
Paul F. McLaughlin	RUDOLPH TECHNOLOGIES INC	RTEC	$1.99 	$0.20 	6.298	-0.709
Robert Fisch	RUE21 INC	RUE	$4.89 	$0.64 	6.689	-0.197
Jack E. Brucker	RURAL/METRO CORP	RURL	$2.28 		6.358	
Michael P. O?Donnell	RUTHS HOSPITALITY GROUP INC	RUTH	$2.19 	$0.36 	6.341	-0.447
Gregory T. Swienton	RYDER SYSTEM INC	R	$5.31 	$5.14 	6.725	0.711
Stephen E. Makarewicz	RYERSON HOLDING CORP	RYI	$0.97 	$3.90 	5.985	0.591
Larry T. Nicholson	RYLAND GROUP INC	RYL	$8.25 	$1.06 	6.916	0.027
Todd D. Brice	S & T BANCORP INC	STBA	$0.81 	$0.23 	5.908	-0.643
Peter J. Boni	SAFEGUARD SCIENTIFICS INC	SFE	$2.04 	$0.00 	6.309	
David F. Brussard	SAFETY INSURANCE GROUP INC	SAFT	$3.11 	$0.61 	6.493	-0.213
Steven A. Burd	SAFEWAY INC	SWY	$11.00 	$41.05 	7.041	1.613
Walter P. Havenstein	SAIC INC	SAI	$5.15 	$11.06 	6.712	1.044
Stephen I. Sadove	SAKS INC	SKS	$7.26 	$2.79 	6.861	0.445
Marc Benioff	SALESFORCE.COM INC	CRM	$20.82 	$1.66 	7.318	0.219
Carolyn J. Logan	SALIX PHARMACEUTICALS LTD	SLXP	$3.80 	$0.34 	6.579	-0.472
Joe F. Sanderson, Jr.	SANDERSON FARMS INC	SAFM	$3.62 	$1.93 	6.558	0.285
Eli Harari	SANDISK CORP	SNDK	$29.55 	$4.83 	7.47	0.684
Jure Sola	SANMINA-SCI CORP	SANM	$7.51 	$6.32 	6.876	0.801
Gabriel Jaramillo	SANTANDER HOLDINGS USA INC	4600B	$7.96 	$5.81 	6.901	0.764
Alan J. Herrick	SAPIENT CORP	SAPE	$3.79 	$0.86 	6.579	-0.064
Brenda C. Barnes	SARA LEE CORP	SLE	$12.97 	$10.79 	7.113	1.033
Marcel Smits	SARA LEE CORP	SLE	$5.67 	$10.79 	6.753	1.033
Bernard Francis Saul, II	SAUL CENTERS INC	BFS	$0.25 	$0.16 	5.391	-0.786
Paul R. Hamelin, R.Ph.	SAVIENT PHARMACEUTICALS INC	SVNT	$0.64 	$0.00 	5.806	-2.395
William B. Timmerman	SCANA CORP	SCG	$5.00 	$4.60 	6.699	0.663
Michael L. Baur	SCANSOURCE INC	SCSC	$3.53 	$2.12 	6.548	0.325
Stanley M. Bergman	SCHEIN (HENRY) INC	HSIC	$4.19 	$7.53 	6.623	0.877
Andrew Gould, BA, FCA	SCHLUMBERGER LTD	SLB	$15.56 	$27.45 	7.192	1.438
Richard Robinson	SCHOLASTIC CORP	SCHL	$4.26 		6.629	
David J. Vander Zanden	SCHOOL SPECIALTY INC	SCHS	$2.04 	$0.76 	6.31	-0.118
Joseph M. Gingo	SCHULMAN (A.) INC	SHLM	$4.69 	$1.59 	6.671	0.202
Walter W. Bettinger, II	SCHWAB (CHARLES) CORP	SCHW	$10.02 	$4.47 	7.001	0.651
Frederic P. Villoutreix	SCHWEITZER-MAUDUIT INTL INC	SWM	$1.52 	$0.74 	6.182	-0.131
Friedhelm Blobel, Ph.D.	SCICLONE PHARMACEUTICALS INC	SCLN	$1.03 	$0.09 	6.011	-1.07
A. Lorne Weil	SCIENTIFIC GAMES CORP	SGMS	$16.45 	$0.88 	7.216	-0.054
James Hagedorn	SCOTTS MIRACLE-GRO CO	SMG	$6.05 	$3.14 	6.782	0.498
Kenneth W. Lowe	SCRIPPS NETWORKS INTERACTIVE	SNI	$8.28 	$2.07 	6.918	0.315
Oivind Lorentzen, III	SEACOR HOLDINGS INC	CKH	$5.56 	$2.65 	6.745	0.423
Steve Luczo	SEAGATE TECHNOLOGY PLC	STX	$2.42 	$11.40 	6.384	1.057
William V. Hickey	SEALED AIR CORP	SEE	$4.94 	$4.49 	6.694	0.652
W. Bruce Johnson	SEARS HOLDINGS CORP	SHLD	$5.32 	$43.33 	6.726	1.637
Alfred P. West, Jr.	SEI INVESTMENTS CO	SEIC	$1.35 	$0.96 	6.13	-0.017
William R. McLaughlin	SELECT COMFORT CORP	SCSS	$3.83 	$0.61 	6.584	-0.218
Gregory E. Murphy	SELECTIVE INS GROUP INC	SIGI	$3.27 	$1.57 	6.515	0.194
Donald E. Felsinger	SEMPRA ENERGY	SRE	$10.22 	$9.00 	7.009	0.954
Mohan Maheswaran	SEMTECH CORP	SMTC	$6.09 	$0.46 	6.785	-0.342
Kraig H. Kayser	SENECA FOODS CORP	SENEA	$0.49 	$1.20 	5.693	0.077
David J. Hegarty	SENIOR HOUSING PPTYS TRUST	SNH	$0.26 	$0.34 	5.409	-0.468
Kenneth P. Manning	SENSIENT TECHNOLOGIES CORP	SXT	$8.40 	$1.33 	6.924	0.123
Thomas L. Ryan	SERVICE CORP INTERNATIONAL	SCI	$5.06 	$2.19 	6.704	0.341
Roy Krause	SFN GROUP INC	SFN	$3.63 	$2.05 	6.56	0.312
J. M. Bernhard, Jr.	SHAW GROUP INC	SHAW	$8.41 	$7.00 	6.925	0.845
Christopher M. Connor	SHERWIN-WILLIAMS CO	SHW	$7.74 	$7.78 	6.888	0.891
Mark L. Lemond	SHOE CARNIVAL INC	SCVL	$1.93 	$0.74 	6.285	-0.131
Phillip C. Peckman	SHUFFLE MASTER INC	SHFL	$0.60 	$0.20 	5.781	-0.696
Thinh Q. Tran	SIGMA DESIGNS INC	SIGM	$1.61 	$0.29 	6.206	-0.542
Jai P. Nagarkatti, Ph.D.	SIGMA-ALDRICH CORP	SIAL	$4.61 	$2.27 	6.664	0.356
Richard A. Sanchez	SIGNATURE GROUP HLDGS INC	SGGH	$0.45 		5.655	
Anthony J. Allott	SILGAN HOLDINGS INC	SLGN	$1.76 	$3.07 	6.246	0.487
Necip Sayiner	SILICON LABORATORIES INC	SLAB	$5.54 	$0.49 	6.743	-0.307
J. Thomas May	SIMMONS FIRST NATL CP  -CL A	SFNC	$1.35 	$0.19 	6.13	-0.731
David E. Simon	SIMON PROPERTY GROUP INC	SPG	$24.56 	$4.03 	7.39	0.606
Gregory Mays	SIMON WORLDWIDE INC	SWWI	$0.28 	$0.00 	5.441	
Tom Fitzmyers	SIMPSON MANUFACTURING INC	SSD	$1.62 	$0.56 	6.209	-0.255
Mel Karmazin	SIRIUS XM RADIO INC	SIRI	$9.91 	$2.82 	6.996	0.45
James W. P. Reid-Anderson	SIX FLAGS ENTERTAINMENT CORP	SIX	$16.76 	$0.98 	7.224	-0.011
Robert Greenberg	SKECHERS U S A INC	SKX	$4.64 	$2.01 	6.666	0.303
Thomas G. Deranek	SKYLINE CORP	SKY	$0.30 		5.477	
Jerry C. Atkin	SKYWEST INC	SKYW	$1.66 	$2.75 	6.22	0.439
David J. Aldrich	SKYWORKS SOLUTIONS INC	SWKS	$4.35 	$1.07 	6.638	0.03
Marc Holliday	SL GREEN REALTY CORP	SLG	$24.84 	$1.14 	7.395	0.058
Albert L. Lord	SLM CORP	SLM	$5.45 	$6.87 	6.736	0.837
Anthony J. Best	SM ENERGY CO	SM	$3.99 	$0.94 	6.601	-0.028
Paul W. Jones	SMITH (A O) CORP	AOS	$6.57 	$1.49 	6.818	0.173
William W. Smith, Jr.	SMITH MICRO SOFTWARE INC	SMSI	$2.20 	$0.13 	6.342	-0.884
C. Larry Pope	SMITHFIELD FOODS INC	SFD	$20.23 	$12.20 	7.306	1.086
Timothy P. Smucker	SMUCKER (JM) CO	SJM	$5.21 	$4.83 	6.717	0.684
Nicholas T. Pinchuk	SNAP-ON INC	SNA	$6.24 	$2.68 	6.795	0.428
David V. Singer	SNYDERS-LANCE INC	LNCE	$4.00 	$0.98 	6.602	-0.008
Tony Aquila	SOLERA HOLDINGS INC	SLH	$5.89 	$0.63 	6.77	-0.2
Jeffry N. Quinn	SOLUTIA INC	SOA	$8.98 	$1.95 	6.953	0.29
O. Bruton Smith	SONIC AUTOMOTIVE INC  -CL A	SAH	$3.57 	$6.88 	6.553	0.838
J. Clifford Hudson	SONIC CORP	SONC	$1.81 	$0.55 	6.257	-0.26
Harris E. DeLoach, Jr.	SONOCO PRODUCTS CO	SON	$7.76 	$4.12 	6.89	0.615
Kevin M. Goodwin	SONOSITE INC	SONO	$1.17 	$0.28 	6.069	-0.56
William F. Ruprecht	SOTHEBY'S	BID	$5.97 	$0.77 	6.776	-0.111
John Burris	SOURCEFIRE INC	FIRE	$1.86 	$0.13 	6.27	-0.884
Edward J. Graham	SOUTH JERSEY INDUSTRIES INC	SJI	$3.54 	$0.93 	6.548	-0.034
David M. Ratcliffe	SOUTHERN CO	SO	$16.03 	$17.46 	7.205	1.242
George L. Lindemann	SOUTHERN UNION CO	SUG	$7.71 	$2.49 	6.887	0.396
Gary C. Kelly	SOUTHWEST AIRLINES	LUV	$3.36 	$12.10 	6.526	1.083
Jeffrey W. Shaw	SOUTHWEST GAS CORP	SWX	$2.58 	$1.83 	6.411	0.263
Steven L. Mueller	SOUTHWESTERN ENERGY CO	SWN	$5.74 	$2.61 	6.759	0.417
Robert J. Attea	SOVRAN SELF STORAGE INC	SSS	$1.58 	$0.19 	6.199	-0.716
John Sztykiel	SPARTAN MOTORS INC	SPAR	$0.60 	$0.48 	5.776	-0.318
Dennis Eidson	SPARTAN STORES INC	SPTN	$2.87 	$2.53 	6.458	0.404
Gregory L. Ebel	SPECTRA ENERGY CORP	SE	$6.87 	$4.95 	6.837	0.694
Kent J. Hussey	SPECTRUM BRANDS HOLDINGS INC	SPB	$14.47 	$2.57 	7.16	0.409
Daniel R. Hesse	SPRINT NEXTEL CORP	S	$9.07 	$32.56 	6.958	1.513
Christopher J. Kearney	SPX CORP	SPW	$10.70 	$4.89 	7.03	0.689
Stanton Sloane	SRA INTERNATIONAL INC	SRX	$1.41 	$1.67 	6.149	0.222
Bill Stone	SS&C TECHNOLOGIES HLDGS INC	SSNC	$6.60 	$0.33 	6.82	-0.483
Daniel J. Starks	ST JUDE MEDICAL INC	STJ	$9.44 	$5.17 	6.975	0.713
Andrew T. Hall	STAGE STORES INC	SSI	$2.88 	$1.47 	6.459	0.167
Kenneth McBride	STAMPS.COM INC	STMP	$1.27 	$0.09 	6.105	-1.068
J. Greg Ness, LLIF	STANCORP FINANCIAL GROUP INC	SFG	$3.58 	$2.77 	6.554	0.442
Christine King	STANDARD MICROSYSTEMS CORP	SMSC	$3.58 	$0.41 	6.554	-0.388
Lawrence I. Sills	STANDARD MOTOR PRODS	SMP	$1.23 	$0.81 	6.09	-0.091
Kenneth L. Campbell, III	STANDARD PACIFIC CORP	SPF	$3.37 	$0.93 	6.528	-0.034
Joseph P. Morgan, Jr.	STANDARD REGISTER CO	SR	$2.00 	$0.67 	6.301	-0.175
Roger Fix	STANDEX INTERNATIONAL CORP	SXI	$2.68 	$0.58 	6.428	-0.238
Roger Fix	STANDEX INTERNATIONAL CORP	SXI	$2.88 	$0.58 	6.459	-0.238
John F. Lundgren	STANLEY BLACK & DECKER INC	SWK	$32.73 	$8.41 	7.515	0.925
Ronald L. Sargent	STAPLES INC	SPLS	$15.17 	$24.55 	7.181	1.39
Howard D. Schultz	STARBUCKS CORP	SBUX	$21.73 	$10.71 	7.337	1.03
A. Laurence Jones	STARTEK INC	SRT	$0.93 	$0.27 	5.969	-0.576
Frits van Paasschen	STARWOOD HOTELS&RESORTS WRLD	HOT	$9.55 	$5.07 	6.98	0.705
Joseph L. Hooley	STATE STREET CORP	STT	$12.92 	$9.72 	7.111	0.987
Keith E. Busse	STEEL DYNAMICS INC	STLD	$2.65 	$6.30 	6.424	0.799
David H. Stovall, Jr.	STEIN MART INC	SMRT	$2.68 	$1.18 	6.427	0.072
F. Quinn Stepan, Jr.	STEPAN CO	SCL	$2.21 	$1.43 	6.345	0.156
Mark C. Miller	STERICYCLE INC	SRCL	$3.79 	$1.44 	6.579	0.158
Walter M. Rosebrough, Jr.	STERIS CORP	STE	$3.05 	$1.31 	6.485	0.117
Louis J. Cappelli	STERLING BANCORP/NY	STL	$4.02 	$0.15 	6.604	-0.839
J. Downey Bridgwater	STERLING BANCSHRS/TX	SBIB	$0.61 	$0.24 	5.786	-0.622
J. Gregory Seibly	STERLING FINANCIAL CORP/WA	STSA	$0.67 	$0.59 	5.826	-0.227
Thomas J. Crawford	STEWART ENTERPRISES  -CL A	STEI	$1.82 	$0.50 	6.26	-0.301
Stewart Morris, Jr.	STEWART INFORMATION SERVICES	STC	$1.23 	$1.67 	6.091	0.222
Ronald J. Kruszewski	STIFEL FINANCIAL CORP	SF	$4.48 	$1.40 	6.651	0.145
Francis R. McAllister	STILLWATER MINING CO	SWC	$5.00 	$0.56 	6.699	-0.255
David H. Welch	STONE ENERGY CORP	SGY	$1.16 	$0.65 	6.063	-0.184
Dennis L. Jilot	STR HOLDINGS INC	STRI	$1.04 	$0.37 	6.018	-0.43
S. Scott Crump	STRATASYS INC	SSYS	$0.42 	$0.12 	5.625	-0.913
Robert S. Silberman	STRAYER EDUCATION INC	STRA	$1.55 	$0.64 	6.19	-0.196
Stephen P. MacMillan	STRYKER CORP	SYK	$4.71 	$7.32 	6.673	0.865
Michael O. Fifer	STURM RUGER & CO INC	RGR	$1.29 	$0.26 	6.111	-0.593
Cristobal I. Conde	SUNGARD DATA SYSTEMS INC	1027B	$2.86 	$4.99 	6.456	0.698
Lynn L. Elsenhans	SUNOCO INC	SUN	$11.71 	$34.92 	7.069	1.543
Mark Ordan	SUNRISE SENIOR LIVING INC	SRZ	$8.74 	$1.41 	6.941	0.149
James M. Wells, III	SUNTRUST BANKS INC	STI	$10.27 	$10.07 	7.012	1.003
Charles Liang	SUPER MICRO COMPUTER INC	SMCI	$0.30 	$0.72 	5.476	-0.142
Charles Liang	SUPER MICRO COMPUTER INC	SMCI	$1.40 	$0.72 	6.147	-0.142
David D. Dunlap	SUPERIOR ENERGY SERVICES INC	SPN	$6.44 	$1.68 	6.809	0.226
Steven J. Borick	SUPERIOR INDUSTRIES INTL	SUP	$2.71 	$0.72 	6.433	-0.143
Henry C. Pao, Ph.D.	SUPERTEX INC	SUPX	$0.32 	$0.08 	5.506	-1.08
Craig R. Herkert	SUPERVALU INC	SVU	$2.97 	$37.57 	6.473	1.575
Bruce J. Barclay	SURMODICS INC	SRDX	$0.62 	$0.07 	5.795	-1.156
Kenneth Parmalee Wilcox, Ph.D.	SVB FINANCIAL GROUP	SIVB	$3.79 	$0.71 	6.578	-0.149
Terry E. Swift	SWIFT ENERGY CO	SFY	$3.84 	$0.44 	6.584	-0.36
John F. Nemelka	SWK HOLDINGS CORP	3SWKH	$0.20 	$0.00 	5.301	
Donald W. Hultgren	SWS GROUP INC	SWS	$0.53 	$0.42 	5.722	-0.374
Charles E. Sykes	SYKES ENTERPRISES INC	SYKE	$2.32 	$1.16 	6.366	0.064
Enrique T. Salem	SYMANTEC CORP	SYMC	$8.51 	$6.19 	6.93	0.792
David G. C?t?	SYMMETRICOM INC	SYMM	$3.00 	$0.22 	6.477	-0.655
Brian S. Moore	SYMMETRY MEDICAL INC	SMA	$0.74 	$0.36 	5.869	-0.443
Thomas J. Tiernan	SYNAPTICS INC	SYNA	$3.71 	$0.52 	6.569	-0.288
Russell J. Knittel	SYNAPTICS INC	SYNA	$8.44 	$0.52 	6.926	-0.288
Stephen G. Waldis	SYNCHRONOSS TECHNOLOGIES	SNCR	$2.12 	$0.17 	6.326	-0.78
Kevin Murai	SYNNEX CORP	SNX	$3.00 	$8.61 	6.477	0.935
Aart J. de Geus	SYNOPSYS INC	SNPS	$4.37 	$1.38 	6.64	0.14
Richard E. Anthony	SYNOVUS FINANCIAL CORP	SNV	$0.98 	$1.63 	5.991	0.211
William J. DeLaney, III	SYSCO CORP	SYY	$5.93 	$37.24 	6.773	1.571
Ben Feder	TAKE-TWO INTERACTIVE SFTWR	TTWO	$0.00 	$1.14 	0	0.056
Michael Gregoire	TALEO CORP	TLEO	$3.21 	$0.24 	6.506	-0.625
Steven B. Tanger	TANGER FACTORY OUTLET CTRS	SKT	$9.44 	$0.28 	6.975	-0.559
Gregg W. Steinhafel	TARGET CORP	TGT	$23.99 	$67.39 	7.38	1.829
Robert S. Taubman	TAUBMAN CENTERS INC	TCO	$3.77 	$0.70 	6.576	-0.155
Bill Cooper	TCF FINANCIAL CORP	TCB	$2.17 	$1.51 	6.337	0.178
Fredric J. Tomczyk	TD AMERITRADE HOLDING CORP	AMTD	$5.97 	$2.57 	6.776	0.409
Tom Lynch	TE CONNECTIVITY LTD	TEL	$10.90 	$12.07 	7.037	1.082
Robert Dutkowsky	TECH DATA CORP	TECD	$4.98 	$24.38 	6.697	1.387
Thomas E. Oland	TECHNE CORP	TECH	$0.26 	$0.27 	5.412	-0.57
Thomas E. Oland	TECHNE CORP	TECH	$0.27 	$0.27 	5.426	-0.57
Sherrill W. Hudson	TECO ENERGY INC	TE	$3.15 	$3.49 	6.499	0.543
James E. Wainright	TECUMSEH PRODUCTS CO  -CL A	TECUA	$1.06 	$0.93 	6.026	-0.03
Frank Plastina	TEKELEC	TKLC	$3.03 	$0.42 	6.482	-0.373
Robert Mehrabian	TELEDYNE TECHNOLOGIES INC	TDY	$3.96 	$1.64 	6.598	0.216
Jeffrey P. Black	TELEFLEX INC	TFX	$4.82 	$1.80 	6.683	0.256
LeRoy T. Carlson, Jr.	TELEPHONE & DATA SYSTEMS INC	TDS	$5.35 	$4.99 	6.728	0.698
Kenneth Tuchman	TELETECH HOLDINGS INC	TTEC	$6.07 	$1.10 	6.783	0.039
Robert W. Pullen	TELLABS INC	TLAB	$3.29 	$1.64 	6.517	0.215
Doyle R. Simons	TEMPLE-INLAND INC	TIN	$8.21 	$3.80 	6.914	0.58
Trevor Fetter	TENET HEALTHCARE CORP	THC	$12.24 	$9.21 	7.088	0.964
H. Chris Killingstad	TENNANT CO	TNC	$3.56 	$0.67 	6.552	-0.175
Gregg M. Sherrill	TENNECO INC	TEN	$5.35 	$5.94 	6.728	0.774
Michael F. Koehler	TERADATA CORP	TDC	$7.33 	$1.94 	6.865	0.287
Michael A. Bradley	TERADYNE INC	TER	$5.19 	$1.61 	6.715	0.206
Ronald M. DeFeo	TEREX CORP	TEX	$7.90 	$4.42 	6.898	0.645
Gregory J. Goff	TESORO CORP	TSO	$8.86 	$20.25 	6.947	1.306
Henry R. Nothhaft	TESSERA TECHNOLOGIES INC	TSRA	$2.76 	$0.30 	6.44	-0.521
Dan L. Batrack	TETRA TECH INC	TTEK	$3.08 	$1.46 	6.488	0.164
Stuart M. Brightman	TETRA TECHNOLOGIES INC/DE	TTI	$1.24 	$0.87 	6.093	-0.059
George F. Jones, Jr.	TEXAS CAPITAL BANCSHARES INC	TCBI	$1.24 	$0.31 	6.093	-0.506
Melvin G. Brekhus	TEXAS INDUSTRIES INC	TXI	$1.14 	$0.62 	6.056	-0.206
Richard K. Templeton	TEXAS INSTRUMENTS INC	TXN	$12.21 	$13.97 	7.087	1.145
G. J. Hart	TEXAS ROADHOUSE INC	TXRH	$1.74 	$1.01 	6.241	0.002
Scott Donnelly	TEXTRON INC	TXT	$8.71 	$10.53 	6.94	1.022
M. Christine Jacobs	THERAGENICS CORP	TGX	$1.19 	$0.08 	6.077	-1.085
Marc N. Casper	THERMO FISHER SCIENTIFIC INC	TMO	$2.76 	$10.79 	6.441	1.033
Dominic J. Pileggi	THOMAS & BETTS CORP	TNB	$5.51 	$2.00 	6.741	0.302
Peter B. Orthwein	THOR INDUSTRIES INC	THO	$0.83 	$2.28 	5.921	0.357
Gary Burbach	THORATEC CORP	THOR	$3.85 	$0.38 	6.586	-0.417
Brian J. Farrell	THQ INC	THQI	$1.29 	$0.67 	6.11	-0.177
Vivek Y. Ranadiv?	TIBCO SOFTWARE INC	TIBX	$8.86 	$0.75 	6.948	-0.123
Dean E. Taylor	TIDEWATER INC	TDW	$5.60 	$1.06 	6.748	0.023
Michael J. Kowalski	TIFFANY & CO	TIF	$9.21 	$3.09 	6.964	0.489
Jeffrey B. Swartz	TIMBERLAND CO  -CL A	TBL	$4.09 	$1.43 	6.611	0.155
Glenn A. Britt	TIME WARNER CABLE INC	TWC	$17.42 	$18.87 	7.241	1.276
Jeffrey L. Bewkes	TIME WARNER INC	TWX	$26.30 	$26.89 	7.42	1.43
James W. Griffith	TIMKEN CO	TKR	$7.71 	$4.06 	6.887	0.608
Maurice M. Taylor, Jr.	TITAN INTERNATIONAL INC	TWI	$2.01 	$0.88 	6.303	-0.055
Bobby D. O'Brien	TITANIUM METALS CORP	TIE	$0.92 	$0.86 	5.966	-0.067
Carol M. Meyrowitz	TJX COMPANIES INC	TJX	$23.08 	$21.94 	7.363	1.341
Robert I. Toll	TOLL BROTHERS INC	TOL	$6.38 	$1.53 	6.805	0.185
Edward H. Kennedy	TOLLGRADE COMMUNICATIONS INC	TLGD	$1.95 		6.29	
Stephen S. Romaine	TOMPKINS FINANCIAL CORP	TMP	$0.90 	$0.19 	5.952	-0.721
Melvin J. Gordon	TOOTSIE ROLL INDUSTRIES INC	TR	$4.12 	$0.52 	6.614	-0.283
Mark S. McAndrew	TORCHMARK CORP	TMK	$6.27 	$3.37 	6.798	0.528
Michael J. Hoffman	TORO CO	TTC	$4.50 	$1.69 	6.653	0.228
Philip W. Tomlinson	TOTAL SYSTEM SERVICES INC	TSS	$5.77 	$1.72 	6.761	0.235
Michael H. Lee	TOWER GROUP INC	TWGP	$3.64 	$1.46 	6.561	0.164
John J. Haley	TOWERS WATSON & CO	TW	$3.22 	$2.39 	6.508	0.378
Gerald L. Storch	TOYS R US INC	1231B	$2.76 	$13.86 	6.441	1.142
James F. Wright	TRACTOR SUPPLY CO	TSCO	$7.22 	$3.64 	6.859	0.561
Salomon Sredni	TRADESTATION GROUP INC	TRAD	$1.44 		6.159	
Robert F. Orlich	TRANSATLANTIC HOLDINGS INC	TRH	$9.60 	$4.36 	6.982	0.64
Steven L. Newman	TRANSOCEAN LTD	RIG	$6.31 	$9.58 	6.8	0.981
M. Ali Khatibzadeh	TRANSWITCH CORP	TXCC	$0.60 	$0.05 	5.78	-1.303
Jay S. Fishman	TRAVELERS COS INC	TRV	$20.42 	$25.11 	7.31	1.4
Nancy Taylor	TREDEGAR CORP	TG	$2.83 	$0.74 	6.451	-0.13
Sam K. Reed	TREEHOUSE FOODS INC	THS	$4.92 	$1.82 	6.692	0.259
Kenneth W. Jones	TRIAD GUARANTY INC	3TGIC	$0.63 	$0.26 	5.8	-0.594
Sylvia Summers Couder	TRIDENT MICROSYSTEMS INC	TRID	$1.49 	$0.56 	6.174	-0.254
Steven W. Berglund	TRIMBLE NAVIGATION LTD	TRMB	$6.35 	$1.29 	6.803	0.112
Timothy R. Wallace	TRINITY INDUSTRIES	TRN	$4.50 	$2.19 	6.653	0.34
Ralph Quinsey	TRIQUINT SEMICONDUCTOR INC	TQNT	$3.07 	$0.88 	6.487	-0.056
Richard C. Ill	TRIUMPH GROUP INC	TGI	$2.45 	$2.91 	6.389	0.463
Jeff Lubell	TRUE RELIGION APPAREL INC	TRLG	$8.34 	$0.36 	6.921	-0.439
Steven C. Cooper	TRUEBLUE INC	TBI	$1.97 	$1.15 	6.295	0.06
Robert Joseph McCormick	TRUSTCO BANK CORP/NY	TRST	$1.26 	$0.18 	6.102	-0.742
Richard G. Hickson	TRUSTMARK CORP	TRMK	$1.62 	$0.57 	6.211	-0.241
Kenton K. Alder	TTM TECHNOLOGIES INC	TTMI	$2.29 	$1.18 	6.36	0.072
Kathleen Mason	TUESDAY MORNING CORP	TUES	$1.66 	$0.83 	6.22	-0.082
E. V. Goings	TUPPERWARE BRANDS CORP	TUP	$11.92 	$2.30 	7.076	0.362
Larissa L. Herda	TW TELECOM INC	TWTC	$9.26 	$1.27 	6.967	0.105
Edward D. Breen	TYCO INTERNATIONAL LTD	TYC	$19.86 	$17.02 	7.298	1.231
John S. Marr, Jr.	TYLER TECHNOLOGIES INC	TYL	$1.20 	$0.29 	6.08	-0.54
Donnie Smith	TYSON FOODS INC  -CL A	TSN	$8.85 	$28.43 	6.947	1.454
Richard K. Davis	U S BANCORP	USB	$18.77 	$20.52 	7.273	1.312
Thomas W. Toomey	UDR INC	UDR	$8.65 	$0.64 	6.937	-0.192
Lon R. Greenberg	UGI CORP	UGI	$7.19 	$5.59 	6.857	0.748
James P. Torgerson	UIL HOLDINGS CORP	UIL	$2.26 	$1.00 	6.354	-0.001
Arthur W. Zafiropoulo	ULTRATECH INC	UTEK	$3.62 	$0.14 	6.559	-0.852
J. Mariner Kemper	UMB FINANCIAL CORP	UMBF	$1.61 	$0.71 	6.207	-0.151
Raymond P. Davis	UMPQUA HOLDINGS CORP	UMPQ	$3.73 	$0.56 	6.572	-0.253
Kevin A. Plank	UNDER ARMOUR INC	UA	$1.32 	$1.06 	6.12	0.027
William L. Jasper	UNIFI INC	UFI	$1.86 	$0.62 	6.269	-0.21
William L. Jasper	UNIFI INC	UFI	$1.06 	$0.62 	6.025	-0.21
Ronald D. Croatti	UNIFIRST CORP	UNF	$21.37 	$1.03 	7.33	0.011
James R. Young	UNION PACIFIC CORP	UNP	$15.27 	$16.97 	7.184	1.23
Paul J. Bonavia	UNISOURCE ENERGY CORP	UNS	$2.28 	$1.46 	6.358	0.163
J. Edward Coleman	UNISYS CORP	UIS	$5.73 	$4.02 	6.758	0.604
Larry D. Pinkston	UNIT CORP	UNT	$2.79 	$0.87 	6.445	-0.06
Richard M. Adams	UNITED BANKSHARES INC/WV	UBSI	$2.30 	$0.39 	6.361	-0.414
Jimmy C. Tallent	UNITED COMMUNITY BANKS INC	UCBI	$0.74 		5.872	
Glenn F. Tilton	UNITED CONTINENTAL HLDGS INC	UAL	$16.84 	$23.23 	7.226	1.366
Randy A. Ramlo	UNITED FIRE & CAS CO	UFCS	$0.58 	$0.59 	5.765	-0.228
Steven L. Spinner	UNITED NATURAL FOODS INC	UNFI	$2.29 	$3.76 	6.36	0.575
Mark R. Goldston	UNITED ONLINE INC	UNTD	$6.02 	$0.92 	6.78	-0.036
D. Scott Davis	UNITED PARCEL SERVICE INC	UPS	$10.73 	$49.55 	7.03	1.695
Michael J. Kneeland	UNITED RENTALS INC	URI	$2.16 	$2.24 	6.334	0.35
John P. Surma, Jr.	UNITED STATES STEEL CORP	X	$12.18 	$17.37 	7.086	1.24
Richard W. Gochnauer	UNITED STATIONERS INC	USTR	$3.74 	$4.83 	6.573	0.684
Louis R. Ch?nevert	UNITED TECHNOLOGIES CORP	UTX	$22.09 	$54.33 	7.344	1.735
Martine Rothblatt, Ph.D., J.D., MBA	UNITED THERAPEUTICS CORP	UTHR	$17.62 	$0.60 	7.246	-0.219
Stephen J. Hemsley	UNITEDHEALTH GROUP INC	UNH	$10.81 	$94.16 	7.034	1.974
George C. Freeman, III	UNIVERSAL CORP/VA	UVV	$3.94 	$2.57 	6.595	0.41
